,X,Y,Z,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz
7958,8798.763743804644,3947.328675677008,2108.5499368114115,0.0,0.0,0.0,0.0,0.0,0.0
7959,8567.75863769408,4036.8726428928053,1818.354232406559,0.0,0.0,0.0,0.0,0.0,0.0
7960,8936.737424300882,4419.182593292429,1472.3610176155241,0.0,0.0,0.0,0.0,0.0,0.0
7961,7930.57377580333,2685.587351868641,3922.521160120462,0.0,0.0,0.0,0.0,0.0,0.0
7962,7999.411479396704,2994.5509286474016,3755.5651863003195,0.0,0.0,0.0,0.0,0.0,0.0
7963,8172.801908146907,3091.37277230664,3149.050783586203,0.0,0.0,0.0,0.0,0.0,0.0
7964,8773.750875804875,3397.084874562492,2705.69117304496,0.0,0.0,0.0,0.0,0.0,0.0
7965,8473.2763919759,3244.2288234345706,2927.370978315585,0.0,0.0,0.0,0.0,0.0,0.0
7966,8327.911786909399,3295.5430275331682,3374.102929006222,0.0,0.0,0.0,0.0,0.0,0.0
7967,8628.38627073837,3448.399078661088,3152.423123735595,0.0,0.0,0.0,0.0,0.0,0.0
7968,8469.816327604341,3474.4677293975215,2658.136747755869,0.0,0.0,0.0,0.0,0.0,0.0
7969,8169.341843775361,3321.611678269597,2879.816553026491,0.0,0.0,0.0,0.0,0.0,0.0
7970,8483.021665671866,3499.7132827596865,3599.155074426231,0.0,0.0,0.0,0.0,0.0,0.0
7971,8165.881779403817,3551.850584232555,2610.5823224667806,0.0,0.0,0.0,0.0,0.0,0.0
7972,7655.445352975186,2589.872169227272,3724.6354228064306,0.0,0.0,0.0,0.0,0.0,0.0
7973,7164.525644231663,2594.5163492007678,3212.5228279374237,0.0,0.0,0.0,0.0,0.0,0.0
7974,7290.0472585009575,2411.9219078499846,3524.1663540546415,0.0,0.0,0.0,0.0,0.0,0.0
7975,7724.28305656856,2898.8357460060333,3557.6794489862873,0.0,0.0,0.0,0.0,0.0,0.0
7976,7005.418268992209,2203.3176936860896,3376.895470319812,0.0,0.0,0.0,0.0,0.0,0.0
7977,7107.206162410012,2669.373252785955,2795.3826803799493,0.0,0.0,0.0,0.0,0.0,0.0
7978,7391.83515191877,2877.977466949855,2942.6535641147834,0.0,0.0,0.0,0.0,0.0,0.0
7979,6978.328416225715,2049.1174672599645,2908.8536892386774,0.0,0.0,0.0,0.0,0.0,0.0
7980,7449.154633740418,2803.120563364666,3359.7937116722574,0.0,0.0,0.0,0.0,0.0,0.0
7981,6879.896654722918,2385.912135036873,3065.251944202594,0.0,0.0,0.0,0.0,0.0,0.0
7982,6291.692116625388,611.5577151516436,3883.1408401785907,0.0,0.0,0.0,0.0,0.0,0.0
7983,6205.596194726653,-9.315249503007143e-15,4098.90823264373,0.0,0.0,0.0,0.0,0.0,0.0
7984,8124.66026092331,2787.997656770593,4202.734103294688,0.0,0.0,0.0,0.0,0.0,0.0
7985,8387.584449636668,3199.3715384513052,4315.9910726487715,0.0,0.0,0.0,0.0,0.0,0.0
7986,8338.045779232107,3056.8301098661586,4657.995536324383,0.0,0.0,0.0,0.0,0.0,0.0
7987,8288.507108827554,2914.288681281017,5000.000000000002,0.0,0.0,0.0,0.0,0.0,0.0
7988,8193.49796451669,3096.961233549355,4035.778129474546,0.0,0.0,0.0,0.0,0.0,0.0
7989,8195.783883133237,2881.9054338040883,4657.995536324385,0.0,0.0,0.0,0.0,0.0,0.0
7990,8146.245212728683,2739.3640052189444,5000.000000000001,0.0,0.0,0.0,0.0,0.0,0.0
7991,7932.859694419882,2470.531552123375,4544.738566970302,0.0,0.0,0.0,0.0,0.0,0.0
7992,8003.983316629812,2564.4393291568717,5000.000000000002,0.0,0.0,0.0,0.0,0.0,0.0
7993,5374.554474673595,1477.2697116544098,886.2451760295842,0.0,0.0,0.0,0.0,0.0,0.0
7994,5383.610544987972,1293.4264753188222,1244.505669060933,0.0,0.0,0.0,0.0,0.0,0.0
7995,5777.837236855304,967.9172220855655,2259.3484948040295,0.0,0.0,0.0,0.0,0.0,0.0
7996,5741.029229749996,1688.9354844203565,1152.5563727452322,0.0,0.0,0.0,0.0,0.0,0.0
7997,5569.5479292286645,1177.2538571784935,1766.2199454536624,0.0,0.0,0.0,0.0,0.0,0.0
7998,6118.62938982348,1936.8329405258635,881.4101454533599,0.0,0.0,0.0,0.0,0.0,0.0
7999,5750.085300064376,1505.0922480847696,1510.8168657765825,0.0,0.0,0.0,0.0,0.0,0.0
8000,5731.973159435615,1872.778720755943,794.2958797138829,0.0,0.0,0.0,0.0,0.0,0.0
8001,5389.010558392953,849.4154662722166,2021.6230251307431,0.0,0.0,0.0,0.0,0.0,0.0
8002,5017.135789911572,1081.7607025528741,978.1944723452851,0.0,0.0,0.0,0.0,0.0,0.0
8003,5203.073174152264,965.5880844125459,1499.908748738015,0.0,0.0,0.0,0.0,0.0,0.0
8004,6006.603528628922,543.2094889494575,2472.2395591238774,0.0,0.0,0.0,0.0,0.0,0.0
8005,5617.776850166565,424.7077331361083,2234.5140894505894,0.0,0.0,0.0,0.0,0.0,0.0
8006,5846.5431419401775,1.21370388472784e-13,2447.4051537704354,0.0,0.0,0.0,0.0,0.0,0.0
8007,6003.243446511961,5.4440403454709974e-14,2826.69244008304,0.0,0.0,0.0,0.0,0.0,0.0
