,s0_5,s1_5,s2_5,s3_5,s4_5,s0_5_10%,s1_5_10%,s2_5_10%,s3_5_10%,s4_5_10%,s0_10,s1_10,s2_10,s3_10,s4_10,s0_10_10%,s1_10_10%,s2_10_10%,s3_10_10%,s4_10_10%,s0_15,s1_15,s2_15,s3_15,s4_15,s0_15_10%,s1_15_10%,s2_15_10%,s3_15_10%,s4_15_10%,s0_20,s1_20,s2_20,s3_20,s4_20,s0_20_10%,s1_20_10%,s2_20_10%,s3_20_10%,s4_20_10%
500,-0.603955981,-1.194934281,-1.950444104,-3.141449288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.486158393,-0.97026027,-1.591384057,-2.574455714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.140276153,-0.292667385,-0.460078494,-0.588254037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.361849393,-0.666424024,-0.919980339,-1.10021738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.424348736,-0.821873009,-1.368841623,-2.334051547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.585787009,-1.160994937,-1.900876991,-3.080939867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s4_5,s4_10,s4_15,s4_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.430837003,-0.846218409,-1.272721223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.258553758,-0.272373486,3.367301177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.351373785,-0.664938163,-1.002815089,-1.357711888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.448263118,-0.879436564,-1.397877399,-2.134972984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.365699823,-0.68843987,-1.007932231,-1.32782469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.533947061,-1.059713226,-1.727975948,-2.771492871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.416320487,-0.729817048,-0.913820938,-0.630414961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.392567304,-0.725725498,-0.961221035,-0.746377393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.200579572,-0.228598208,0.108720723,1.432797169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.514753464,-1.020602392,-1.626221288,-2.461297772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
