ID,Centroid
1217,"[1735.2805436524811, 1719.331932223349, 218.64366556540512]"
1218,"[1719.7251556484957, 1232.4975523976998, 24.3078751009933]"
1219,"[1798.8501432696214, 2556.022132686333, 185.03052027182804]"
1221,"[1832.6542639218897, 1380.69969517268, 60.71429094370013]"
1222,"[1733.1559791452196, 2887.212566001395, 114.50048151960947]"
1224,"[1761.3488879922147, 1229.8217227219861, 288.0280790866583]"
1226,"[1752.8902481809723, 963.9362997086505, 131.85713196149916]"
1227,"[1728.38457728691, 2149.9784557476105, 264.71477390916743]"
1228,"[1785.111671569305, 1767.3597417724518, 278.6565060312321]"
1229,"[1781.4018090795312, 2062.283308681306, 156.63998558804568]"
1235,"[1800.554681495004, 997.3188172559569, 174.86907907378938]"
1236,"[1764.8109597302557, 2501.428410866526, 89.8181419446805]"
1238,"[1784.5270022731786, 1653.2342477544084, 50.40482443556752]"
1239,"[1761.6309572758196, 1847.0876911000635, 207.6453855642358]"
1240,"[1799.9107909119653, 2279.607555294578, 279.0986946113194]"
1241,"[1762.4918717155347, 1945.3213005255145, 183.8627768773636]"
1242,"[1774.7803582604577, 2333.135523266632, 229.57248938581506]"
1244,"[1784.8511209835726, 1746.564986052278, 5.615042876330199]"
1247,"[1756.525089206066, 1298.2612622658341, 202.91469669937555]"
1249,"[1799.6928017566734, 991.0104714197488, 79.44797913950457]"
1251,"[1782.4028262535116, 2941.433500751965, 163.61848415198207]"
1254,"[1807.4195910894111, 1574.150111890957, 145.62719967449902]"
1256,"[1773.8206543161214, 2713.244777296019, 295.4765471028774]"
1257,"[1842.5290330090872, 3131.7093570612674, 118.82121108500003]"
1258,"[1828.611046522357, 1558.1101330528336, 118.96741036003617]"
1259,"[1795.532360868876, 2803.086475344855, 14.373806881243063]"
1260,"[1790.404922874959, 1312.0294059730884, 8.457236626189696]"
1264,"[1807.6942629934679, 1853.1765326408893, 249.84091370146467]"
1266,"[1804.3017263860638, 2033.4677410942472, 178.59182183278568]"
1267,"[1825.5059260383703, 1431.2866334263595, 190.35520031761232]"
1268,"[1812.7710982165713, 2109.3651335438176, 135.89666353784452]"
1269,"[1801.4550757443844, 2328.950896743862, 254.58440710430088]"
1272,"[1811.1189822485208, 1951.4347692307692, 207.4040946745562]"
