ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
991,9075,3,"[1356.44826446281, 321.1364187327824, 243.90457300275483]",[0.64343186 0.64808411 0.40740941],[-0.20130614 -0.3702284   0.90686646],[ 0.73856028 -0.66552078 -0.10775343],2.3042219082765008,-0.14487444567082836,0.7398639666182651
1001,12225,4,"[1382.1739059304703, 254.27697341513291, 216.2275664621677]",[0.46537474 0.31211199 0.82825869],[ 0.54191625  0.63939923 -0.5454314 ],[-0.69982364  0.70267684  0.12842169],2.358228848473633,-0.18148661398459576,0.7956457476127531
1009,35455,12,"[1426.4990833450854, 360.23426879142573, 168.6989141164857]",[0.63101145 0.39937309 0.66507571],[-0.39884911 -0.56830717  0.7196849 ],[-0.66539007  0.71939426  0.19931873],2.3951730066355728,-0.29104546057004466,0.8427800974580176
1013,8098,2,"[1396.5022227710547, 821.2491973326747, 269.25561867127686]",[0.53431297 0.0945379  0.83998348],[ 0.53258263  0.73402191 -0.42138768],[-0.65640338  0.67251351  0.34184818],2.368316649457917,-0.4801407819394729,0.8547549734020982
1021,373031,135,"[1546.5718532776095, 248.4504907098874, 78.86870528186665]",[ 0.50777491  0.62574448 -0.59212203],[0.47178179 0.37311506 0.79887865],[ 0.72082354 -0.68500292 -0.10575639],2.330719885498558,-0.1456767289993717,0.7658065676557322
1023,11357,4,"[1406.069736726248, 13.760500132077134, 75.60191952100027]",[-0.10817467 -0.07599218  0.9912232 ],[0.68769298 0.71430196 0.12981166],[ 0.71789735 -0.69569957  0.02501009],2.340492737098728,-0.03482389147284358,0.7700191383835611
1025,29030,10,"[1444.9216327936617, 28.11749913882191, 175.45897347571477]",[0.59229288 0.33955549 0.73067859],[-0.49148967 -0.56633743  0.66158886],[-0.63845677  0.75097535  0.16854961],2.4369998638036603,-0.25810675834625463,0.8783048204155003
1028,20125,7,"[1429.4739875776397, 21.890136645962734, 124.8528198757764]",[0.26931242 0.09355391 0.95849804],[ 0.73027034  0.62899954 -0.26657983],[-0.62783441  0.77175595  0.10107775],2.458665505618817,-0.1596245739153247,0.892028542623283
1029,84102,30,"[1472.767282585432, 718.2936315426506, 217.78842358088988]",[0.62713736 0.72531504 0.28393102],[-1.55213721e-04 -3.64407762e-01  9.31239475e-01],[ 0.77890867 -0.58405913 -0.22842114],2.2141968828852203,-0.2852599875115879,0.6778725765179757
1036,3408,1,"[1418.1514084507041, 10.800762910798122, 29.122359154929576]",[0.33269888 0.01898497 0.94284199],[ 0.65776014  0.71177349 -0.24643478],[-0.6757685   0.70215245  0.22431869],2.3753398063125606,-0.32050149051726634,0.8287895482921445
1042,27961,10,"[1458.4367511891562, 43.857909230714206, 239.07456814849255]",[ 0.56767651  0.81097504 -0.14164346],[ 0.33603391 -0.07119001  0.93915557],[ 0.75154813 -0.58073356 -0.31292801],2.228678120201132,-0.39454501992724494,0.7203905788600824
1053,153156,55,"[1548.744254224451, 585.7598853456607, 152.46487894695605]",[0.7196668  0.66281682 0.20676935],[ 0.02268194 -0.32008573  0.94711702],[ 0.69394901 -0.67691875 -0.24538904],2.3437721513792846,-0.33988945089649986,0.8038371170500025
1056,27102,9,"[1491.4457604604827, 640.3664674193786, 247.64050623570216]",[ 0.62005285 -0.01595327  0.78439783],[ 0.55310591  0.71796058 -0.42261856],[-0.55642457  0.69590092  0.45399736],2.4671112665472092,-0.6843725281519464,0.9807198432229866
1058,33817,12,"[1485.727622201851, 353.7588786704912, 230.27971138776354]",[0.50403282 0.36490912 0.78281048],[ 0.47340599  0.64135252 -0.60378284],[ 0.72238334 -0.67491354 -0.15051255],2.322234956665527,-0.20541664880285418,0.7635535276031281
1065,102631,37,"[1553.9078640956436, 182.22795256793756, 279.6372635948203]",[ 0.52878924  0.6993882  -0.48087221],[0.53898334 0.16096036 0.82679424],[-0.6556515   0.69638201  0.29184448],2.386310751844498,-0.4187894372454915,0.8557511851261158
1068,9718,3,"[1481.4838444124305, 17.968306235851, 204.93002675447622]",[0.78478371 0.46634516 0.40821161],[-0.17233059 -0.46848181  0.86650272],[-0.59532906  0.75036457  0.28729136],2.4708974129249017,-0.4496112818010131,0.933121199164902
1073,55280,20,"[1544.996472503618, 113.21857814761216, 182.98418958031837]",[0.57664266 0.37382423 0.72645625],[-0.41919003 -0.62783823  0.65581924],[ 0.70125813 -0.68269657 -0.20533492],2.342783323665287,-0.2848468589897937,0.793635571621625
1075,31914,11,"[1516.6958074826096, 900.1633452403333, 283.4994673184182]",[0.65039972 0.14738587 0.74515609],[ 0.38878805  0.7781618  -0.49326268],[ 0.65255195 -0.61052569 -0.44881436],2.322933855557982,-0.6024797137094076,0.8598489211266442
1083,26498,9,"[1512.0789870933656, 430.9345233602536, 185.26560495131707]",[0.26690982 0.0031601  0.96371633],[ 0.62902703  0.75703578 -0.17669702],[ 0.73012612 -0.65336578 -0.2000725 ],2.3007682801910843,-0.2674591391742723,0.7522898267005027
1085,3284,1,"[1491.6866626065773, 966.7737515225335, 273.35962241169307]",[0.7297442  0.51643942 0.44806665],[-0.01129406 -0.64614174  0.76313387],[ 0.68362697 -0.56195301 -0.46568549],2.2588188473504256,-0.5979955671852872,0.8180755809302136
1086,10375,3,"[1505.1956626506023, 522.4117590361445, 279.0147469879518]",[ 0.27750609  0.7325453  -0.62158488],[0.5700234  0.39526132 0.72030675],[ 0.77334578 -0.55420744 -0.30788054],2.192600362077137,-0.37888030309282356,0.6866946464554134
1089,20905,7,"[1557.7194451088255, 575.0762497010285, 294.3741688591246]",[ 0.69726851  0.71670774 -0.0121098 ],[ 0.24117619 -0.21865875  0.94552757],[ 0.67501901 -0.6622072  -0.3253167 ],2.3466138940759627,-0.44909314884963203,0.8298058537204437
1093,9338,3,"[1509.663739558792, 156.2584065110302, 242.42589419575927]",[0.64000929 0.76781678 0.02907767],[ 0.18276961 -0.18888564  0.96484065],[ 0.74631319 -0.61219246 -0.26122214],2.2577867238498914,-0.33668976890143204,0.7282906995917302
1102,12047,4,"[1543.5337428405412, 103.79272848011954, 216.25898563957833]",[0.53944475 0.38646531 0.74809353],[-0.4816316  -0.58713689  0.65061608],[-0.69067385  0.71127691  0.13059401],2.370889425420458,-0.1868758024002444,0.8083758844400923
1104,60547,22,"[1601.2903364328538, 219.76429880918957, 168.3853204948222]",[0.64755207 0.4780487  0.5934187 ],[-0.24109224 -0.61021216  0.75466261],[ 0.72287678 -0.63175198 -0.27989032],2.2890264770946063,-0.3694143165455027,0.7628396668609024
1105,10352,3,"[1536.7030525502319, 590.7698995363215, 274.3414799072643]",[0.69307346 0.46296264 0.55255295],[-0.23467004 -0.57985742  0.7801893 ],[ 0.68160043 -0.67039613 -0.29324033],2.347907451436228,-0.40628642666873604,0.8208487121043722
1109,11676,4,"[1540.27946214457, 3579.39636861939, 11.025351147653305]",[0.29098401 0.21494352 0.93227013],[ 0.41926     0.84723938 -0.32620006],[ 0.85997056 -0.48578258 -0.15641589],2.084994022759228,-0.17991834603051501,0.5355843504055172
1113,45118,16,"[1603.7537568154617, 450.2825923134891, 235.73562657919234]",[0.59394076 0.09136992 0.79930339],[ 0.55056515  0.67827341 -0.48664484],[-0.58661094  0.7291068   0.35254913],2.4640767606859546,-0.5411494046688339,0.9439285673634389
1124,195312,71,"[1692.9424100925698, 424.9809433112149, 142.80767182763987]",[0.64083224 0.76094314 0.10148685],[ 0.16964988 -0.26930538  0.94799448],[ 0.74870085 -0.59028819 -0.30167348],2.238434212864605,-0.38302905014203786,0.7246961965443973
1127,39591,14,"[1599.5377737364552, 522.9139198302645, 210.7147836629537]",[0.51248751 0.175081   0.84065641],[ 0.50475544  0.73057735 -0.45986811],[ 0.6946787  -0.66000256 -0.28603868],2.330602807975488,-0.3906002912683741,0.8028231945423435
1130,196730,71,"[1651.6734051746048, 3469.3851115742386, 237.91201138616378]",[ 0.22081032 -0.26329022  0.93910652],[0.61390632 0.78571768 0.07593913],[ 0.75786663 -0.55975529 -0.3351301 ],2.2069571498492966,-0.4163501766697675,0.7107594362234966
1134,17520,6,"[1589.0751141552512, 704.572203196347, 263.10947488584475]",[ 0.4719723  -0.17854625  0.8633443 ],[ 0.66968597  0.70950438 -0.21937236],[-0.57337845  0.68170725  0.45443633],2.442292984054585,-0.6701873392002251,0.9601727659151109
1141,255916,93,"[1719.150729145501, 133.29076337548258, 62.82270354335016]",[0.4881213  0.38423676 0.78364514],[ 0.43595462  0.67050106 -0.60030984],[ 0.75609601 -0.63465773 -0.15977606],2.2690970833773534,-0.208253381787927,0.7134691499298497
1157,30680,11,"[1656.5473272490221, 211.6877118644068, 229.39993481095175]",[0.58269906 0.38464328 0.71589899],[-0.43541287 -0.59604339  0.67464651],[-0.6862051   0.70482751  0.17983529],2.369581162245559,-0.25630807313103426,0.8145372098387679
1174,42416,15,"[1664.5880799698227, 28.04778857035081, 112.6812052055828]",[0.28378479 0.17519923 0.94274674],[ 0.64538175  0.69224695 -0.32291881],[ 0.70918868 -0.70007099 -0.08337877],2.3497247389117355,-0.11703197940257261,0.7824495616548433
1180,11168,4,"[1651.4556769340975, 335.606643982808, 279.52936962750715]",[ 0.35797319  0.78403279 -0.5070974 ],[0.48686448 0.30668805 0.81786638],[ 0.79675478 -0.53966195 -0.27193162],2.1661415402296926,-0.3289024539286997,0.6488904756927758
1184,23217,8,"[1674.905629495628, 614.5419304819744, 221.5459792393505]",[0.35762393 0.01896164 0.93367317],[ 0.61490332  0.74768858 -0.25071037],[ 0.70285064 -0.66377876 -0.25573175],2.327612316484514,-0.3489591044993009,0.7913992819699553
1187,28335,10,"[1719.7553555673196, 416.4600317628375, 292.6851949885301]",[ 0.70929679  0.70412236 -0.03331331],[ 0.28919869 -0.24757468  0.92470044],[-0.64285472  0.66552121  0.37923519],2.3735169025546443,-0.5329774546197079,0.8725770186526076
