ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
375,280507,102,"[504.72294452544855, 424.39410424695285, 109.17879054711648]",[-0.09859663 -0.28553243  0.95328376],[0.64103591 0.71449241 0.28030975],[ 0.76115154 -0.63872673 -0.11259   ],0.6981662036339075,-0.1468556932884284,0.7057095679655071
378,32745,11,"[471.884959535807, 3445.4735074057107, 248.47533974652617]",[ 0.4464349   0.88233596 -0.14892662],[ 0.33032934 -0.00782995  0.94383326],[ 0.83161194 -0.47055493 -0.29495701],0.5149190731565968,-0.340838938241271,0.5887923946795866
379,6221,2,"[449.1130043401382, 2912.616138884424, 171.15094036328566]",[0.32234298 0.8108341  0.48851108],[-0.23961191 -0.42936252  0.87076631],[ 0.91579536 -0.39773848  0.05588352],0.4097292437026078,-0.06094626598131616,0.4133126062888808
380,50729,18,"[468.44643103550237, 3424.1023477695203, 276.2800173470796]",[-0.0743587  -0.70395776  0.70633862],[0.41788609 0.62111508 0.66301379],[ 0.90545127 -0.34446993 -0.24798885],0.36353147940559655,-0.2673286150677873,0.43835462198278163
381,33277,12,"[527.2997565886348, 1179.1453857018362, 292.9975358355621]",[ 0.7384755   0.66713962 -0.09787064],[ 0.43003942 -0.35419733  0.83042781],[-0.51934578  0.65533883  0.54846238],0.9006549139013323,-0.8126590445631118,1.0247111156736555
383,18596,6,"[468.50231232523123, 2349.9804258980425, 135.69590234459022]",[-0.2117937  -0.41145261  0.88648191],[0.40617346 0.78795517 0.46276318],[ 8.88913128e-01 -4.58075752e-01 -2.37192718e-04],0.4758292821767902,-0.0002668345246836994,0.4758293367644791
384,4406,1,"[454.2625964593736, 1133.7893781207445, 91.37153881071266]",[-0.44685879 -0.54297217  0.71098414],[0.24294446 0.69122669 0.68057597],[ 0.86098502 -0.47685101  0.17696865],0.505789331085546,-0.20271875358621338,0.5335931970127166
385,107591,39,"[499.16510674684685, 2714.177951687409, 158.1384316532052]",[-0.1675658  -0.32779919  0.92976846],[0.49979266 0.78468016 0.36672106],[ 0.84978174 -0.52614136 -0.03234607],0.554380658797161,-0.038045604385154065,0.5552252285567781
386,81022,29,"[536.8701463799955, 71.31802473402286, 235.3889684283281]",[0.67317585 0.58495971 0.45238966],[-0.16120391 -0.48096762  0.86179084],[ 0.7216977  -0.65306376 -0.229478  ],0.7355153292027782,-0.30786014514880233,0.7645445490837901
392,3272,1,"[460.0366748166259, 2388.7802567237163, 70.56662591687042]",[ 0.34377215  0.83205633 -0.43531939],[0.53094518 0.21013739 0.82093818],[ 0.77454369 -0.51334641 -0.36953692],0.5853019366538317,-0.44516258882712184,0.6848029702588235
393,7332,2,"[464.8626568466994, 3462.705537370431, 227.88270594653574]",[0.56239679 0.31803487 0.76325859],[ 0.25084525  0.81394887 -0.52398846],[ 0.78790007 -0.48614922 -0.37798469],0.552839485149278,-0.44730607342563306,0.6634048811959835
394,80136,29,"[511.60855295996805, 974.2743336328242, 232.7730982330039]",[-0.19577376 -0.55597059  0.80781764],[0.58554437 0.59451883 0.55107636],[ 0.78664505 -0.58089936 -0.20915426],0.6360691277988212,-0.2598690856149119,0.6654402550443244
396,51657,18,"[504.75482509630837, 2698.0963664169426, 283.44857424937567]",[-0.30689075 -0.57940631  0.7550539 ],[0.49318597 0.58169904 0.6468337 ],[ 0.81399365 -0.57088927 -0.10723701],0.6116271657371612,-0.13098749555399614,0.6198017128330419
397,8135,2,"[466.50473263675474, 3220.2073755377996, 292.8542102028273]",[0.41439259 0.84455885 0.33911522],[ 0.01602122 -0.37932569  0.9251245 ],[ 0.9099572  -0.3779317  -0.17072062],0.39365086980479164,-0.18545798352548812,0.4276154884602438
398,57592,20,"[484.3160334768718, 2638.0955341019585, 208.28693221280733]",[-0.10047563 -0.29806893  0.94924157],[0.54289256 0.78309581 0.30336219],[ 0.83376994 -0.54581669 -0.08313736],0.5796281017979713,-0.09938407830415912,0.5848952149048755
400,85167,31,"[589.5715241819014, 2375.0751817018327, 14.871851773574273]",[0.55740644 0.79324703 0.24506574],[ 0.05378564 -0.32905625  0.94277733],[ 0.82849573 -0.51232913 -0.22608337],0.5538281434967176,-0.2663980834731015,0.5943802322123588
402,12211,4,"[481.21513389566786, 114.61575628531652, 23.962902301203833]",[0.55676376 0.36941304 0.74400814],[ 0.11515171  0.85269982 -0.50955186],[ 0.82265071 -0.36937382 -0.43221382],0.4220257084913349,-0.4837539805789898,0.6047386548065896
403,4678,1,"[486.40166737922186, 1013.1509191962377, 208.15925609234716]",[0.81335739 0.58156372 0.01527724],[-0.37808542  0.50845576  0.77364343],[-0.44215515  0.6350247  -0.63343701],0.962571212843363,-0.9613968013428451,1.1127962883042348
404,20835,7,"[489.99894408447324, 1237.8230381569474, 141.4480441564675]",[0.55317934 0.6467353  0.52509625],[-0.32109599 -0.41608897  0.85074516],[ 0.76869368 -0.63922095 -0.02250771],0.6936954423675588,-0.029272109647961765,0.6940000288435171
406,22822,8,"[487.25536762772765, 894.3178511962142, 32.387126456927525]",[ 0.12815552 -0.14340175  0.9813318 ],[0.65397731 0.75609821 0.02508327],[ 0.7455802  -0.63855417 -0.19067965],0.7082282745147976,-0.2503799319722374,0.729391274466279
408,79700,29,"[521.0873023839398, 3551.7546047678798, 167.293626097867]",[ 0.28421104 -0.18531022  0.94068284],[0.52081924 0.85359868 0.01079852],[ 0.80496671 -0.48685666 -0.3391153 ],0.543953074717878,-0.3987144260243385,0.6351769671886617
409,44319,16,"[504.0383808298924, 2755.975021999594, 18.196236377174575]",[ 0.24891417 -0.23131308  0.94049774],[0.43166587 0.89577571 0.10606818],[ 0.86700998 -0.3795789  -0.32282123],0.4126640895727281,-0.3564352943424674,0.5216262480017353
410,34151,12,"[498.2578548212351, 1245.8779245117273, 83.9127990395596]",[-0.26229021 -0.26989336  0.92647796],[0.49501234 0.78651687 0.36926142],[ 0.82835175 -0.55547168  0.07269513],0.5907032501821335,-0.0875345154733767,0.5946372789233553
411,42851,15,"[501.2721756785139, 2705.7624326153414, 250.25369302933422]",[0.34452599 0.33821138 0.87573678],[ 0.35989356  0.81399266 -0.45595238],[ 0.8670516  -0.47225947 -0.15872153],0.498744074781566,-0.1810542700369583,0.5215427279873317
